"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Delayed response","3191","testDelayedResponse","Surefire suite","Fri Feb 07 11:06:24 GMT 2025","passed","Fri Feb 07 11:06:27 GMT 2025","api.tests.sergeyk.RegresWithPojoTest","Surefire test","api.tests.sergeyk.RegresWithPojoTest","testDelayedResponse"
"Get single user","437","testGetSingleUser","Surefire suite","Fri Feb 07 11:06:09 GMT 2025","passed","Fri Feb 07 11:06:10 GMT 2025","api.tests.rita.ApiTest","Surefire test","api.tests.rita.ApiTest","testGetSingleUser"
"User registration successful","204","testRegisterUserSuccessful","Surefire suite","Fri Feb 07 11:06:22 GMT 2025","passed","Fri Feb 07 11:06:22 GMT 2025","api.tests.Diana.RegresTest","Surefire test","api.tests.Diana.RegresTest","testRegisterUserSuccessful"
"Register unsuccessful","190","testRegisterUnsuccessful","Surefire suite","Fri Feb 07 11:06:28 GMT 2025","passed","Fri Feb 07 11:06:28 GMT 2025","api.tests.sergeyk.RegresWithPojoTest","Surefire test","api.tests.sergeyk.RegresWithPojoTest","testRegisterUnsuccessful"
"Create a user and verify the id of that user is equal to one that was in a response, line-200","197","testIdOfCreatedEntryInAResponseBody","Surefire suite","Fri Feb 07 11:06:51 GMT 2025","passed","Fri Feb 07 11:06:51 GMT 2025","api.tests.dima.test.RegresTest","Surefire test","api.tests.dima.test.RegresTest","testIdOfCreatedEntryInAResponseBody"
"Test all the user`s id that are presented on the page, line-45","54","testListOfUsersIdExisted","Surefire suite","Fri Feb 07 11:06:51 GMT 2025","passed","Fri Feb 07 11:06:51 GMT 2025","api.tests.dima.test.RegresTest","Surefire test","api.tests.dima.test.RegresTest","testListOfUsersIdExisted"
"Login unsuccessful","194","testUserLoginRegisterUnsuccessful","Surefire suite","Fri Feb 07 11:06:23 GMT 2025","passed","Fri Feb 07 11:06:23 GMT 2025","api.tests.Diana.RegresTest","Surefire test","api.tests.Diana.RegresTest","testUserLoginRegisterUnsuccessful"
"Get delayed response","6438","testGetDelayedResponse","Surefire suite","Fri Feb 07 11:06:10 GMT 2025","passed","Fri Feb 07 11:06:16 GMT 2025","api.tests.rita.ApiTest","Surefire test","api.tests.rita.ApiTest","testGetDelayedResponse"
"Get list of users","2399","testGetListUsers","Surefire suite","Fri Feb 07 11:06:07 GMT 2025","passed","Fri Feb 07 11:06:09 GMT 2025","api.tests.rita.ApiTest","Surefire test","api.tests.rita.ApiTest","testGetListUsers"
"Validation of error message after unsuccessful login by providing only email without password","196","testPassParametersViaFactory_1","Surefire suite","Fri Feb 07 11:06:50 GMT 2025","passed","Fri Feb 07 11:06:50 GMT 2025","api.tests.dima.test.UseFactoryAprouchTest","Surefire test","api.tests.dima.test.UseFactoryAprouchTest","testPassParametersViaFactory_1"
"Create a user and verify the name of that user is equal to one that was in a response, line-180","201","testIdOfCreatedEntry","Surefire suite","Fri Feb 07 11:06:51 GMT 2025","passed","Fri Feb 07 11:06:51 GMT 2025","api.tests.dima.test.RegresTest","Surefire test","api.tests.dima.test.RegresTest","testIdOfCreatedEntry"
"Update user","197","testPatchUser","Surefire suite","Fri Feb 07 11:06:17 GMT 2025","passed","Fri Feb 07 11:06:17 GMT 2025","api.tests.rita.ApiTest","Surefire test","api.tests.rita.ApiTest","testPatchUser"
"Login unsuccessful","191","testLoginUnsuccessful","Surefire suite","Fri Feb 07 11:06:27 GMT 2025","passed","Fri Feb 07 11:06:28 GMT 2025","api.tests.sergeyk.RegresWithPojoTest","Surefire test","api.tests.sergeyk.RegresWithPojoTest","testLoginUnsuccessful"
"Get all the resources (books) available in the API, at current time. With allure parameters and attachment","117","testgetAllTheBooks","Surefire suite","Fri Feb 07 11:06:50 GMT 2025","passed","Fri Feb 07 11:06:50 GMT 2025","api.tests.dima.test.MixedAPIAndSeleniumTests","Surefire test","api.tests.dima.test.MixedAPIAndSeleniumTests","testgetAllTheBooks"
"Validation of error message after unsuccessful login by providing only email without password, line-315","189","testErrorMessageOfUnsuccessfulLogin","Surefire suite","Fri Feb 07 11:06:50 GMT 2025","passed","Fri Feb 07 11:06:51 GMT 2025","api.tests.dima.test.RegresTest","Surefire test","api.tests.dima.test.RegresTest","testErrorMessageOfUnsuccessfulLogin"
"Get list Of Users","65","testVerifySingleUser","Surefire suite","Fri Feb 07 11:06:23 GMT 2025","passed","Fri Feb 07 11:06:23 GMT 2025","api.tests.Diana.RegresTest","Surefire test","api.tests.Diana.RegresTest","testVerifySingleUser"
"Get single resource not found","51","testSingleResourceNotFound","Surefire suite","Fri Feb 07 11:06:28 GMT 2025","passed","Fri Feb 07 11:06:28 GMT 2025","api.tests.sergeyk.RegresWithPojoTest","Surefire test","api.tests.sergeyk.RegresWithPojoTest","testSingleResourceNotFound"
"Verify the error message for invalid registration with missing password, line-275","217","testRegisterUnsuccessfulToken","Surefire suite","Fri Feb 07 11:06:52 GMT 2025","passed","Fri Feb 07 11:06:52 GMT 2025","api.tests.dima.test.RegresTest","Surefire test","api.tests.dima.test.RegresTest","testRegisterUnsuccessfulToken"
"Register a user","201","testRegisterUser","Surefire suite","Fri Feb 07 11:06:17 GMT 2025","passed","Fri Feb 07 11:06:17 GMT 2025","api.tests.rita.ApiTest","Surefire test","api.tests.rita.ApiTest","testRegisterUser"
"Get list of users with deserialization Pojo class","66","testGetListUserPojo","Surefire suite","Fri Feb 07 11:06:23 GMT 2025","passed","Fri Feb 07 11:06:23 GMT 2025","api.tests.br.ApiTest","Surefire test","api.tests.br.ApiTest","testGetListUserPojo"
"Test id`s of a single user, line-146","50","testSingleResourceId","Surefire suite","Fri Feb 07 11:06:52 GMT 2025","passed","Fri Feb 07 11:06:52 GMT 2025","api.tests.dima.test.RegresTest","Surefire test","api.tests.dima.test.RegresTest","testSingleResourceId"
"This is empty test for learning purpose only","0","testEmptyTest","Surefire suite","Fri Feb 07 11:06:50 GMT 2025","passed","Fri Feb 07 11:06:50 GMT 2025","api.tests.dima.test.UseFactoryAprouchTest","Surefire test","api.tests.dima.test.UseFactoryAprouchTest","testEmptyTest"
"Get single resource","80","testGetSingleResource","Surefire suite","Fri Feb 07 11:06:10 GMT 2025","passed","Fri Feb 07 11:06:10 GMT 2025","api.tests.rita.ApiTest","Surefire test","api.tests.rita.ApiTest","testGetSingleResource"
"Test that the user`s id is not exist","39","use Rest Assured class JSONObject for verification, line-110","Surefire suite","Fri Feb 07 11:06:53 GMT 2025","passed","Fri Feb 07 11:06:53 GMT 2025","api.tests.dima.test.RegresTest","Surefire test","api.tests.dima.test.RegresTest","testUserIsNotExistJson"
"Parameterized test with @dataProvider, for id of user that dos not exist, line-161","208","testSingleResourceNotFaund","Surefire suite","Fri Feb 07 11:06:53 GMT 2025","passed","Fri Feb 07 11:06:53 GMT 2025","api.tests.dima.test.RegresTest","Surefire test","api.tests.dima.test.RegresTest","testSingleResourceNotFaund"
"Login successful","190","testUserLoginRegister","Surefire suite","Fri Feb 07 11:06:23 GMT 2025","passed","Fri Feb 07 11:06:23 GMT 2025","api.tests.Diana.RegresTest","Surefire test","api.tests.Diana.RegresTest","testUserLoginRegister"
"Create user","196","testCreate","Surefire suite","Fri Feb 07 11:06:23 GMT 2025","passed","Fri Feb 07 11:06:24 GMT 2025","api.tests.sergeyk.RegresWithPojoTest","Surefire test","api.tests.sergeyk.RegresWithPojoTest","testCreate"
"User registration unsuccessful","212","testRegisterUserUnsuccessful","Surefire suite","Fri Feb 07 11:06:22 GMT 2025","passed","Fri Feb 07 11:06:22 GMT 2025","api.tests.Diana.RegresTest","Surefire test","api.tests.Diana.RegresTest","testRegisterUserUnsuccessful"
